1748564251.089663,2.193,2.0966,2.2895,1.836,1.8758,2.0681,2.1949,2.0926,2.1793,1.5969,1.5212,1.9088,1.1658,1.6115,1.9983
1748564251.202827,2.1484,2.045,2.2161,1.7425,1.8344,1.9776,2.1925,2.0939,2.1541,1.5846,1.4986,1.7737,1.165,1.6397,1.8822
1748564251.316849,2.1565,2.0622,2.2091,1.6724,1.7906,1.9244,2.1315,2.0361,2.0402,1.6077,1.4557,1.7345,1.1215,1.6018,1.4331
1748564251.431638,2.2172,2.1114,2.265,1.6598,1.8014,1.9827,2.102,1.9513,1.922,1.7146,1.4468,1.8435,1.212,1.7525,1.9795
1748564251.545523,2.1404,2.0622,2.1291,1.6265,1.7922,1.7012,1.9341,1.9225,1.879,1.605,1.4296,1.5859,1.2241,1.5529,0.902
1748564251.6590679,2.215,2.1578,2.2059,1.6386,1.8081,1.7299,1.8833,1.8734,1.796,1.6206,1.403,1.5892,1.2762,1.511,0.9085
1748564251.774039,2.1914,2.0926,2.2231,1.5924,1.7796,1.7114,1.8645,1.8468,1.7447,1.7095,1.4428,1.7197,1.3753,1.7683,1.9257
1748564251.88721,2.215,2.0853,2.2709,1.9002,1.9359,2.1092,2.2301,2.1253,2.2075,1.6888,1.6859,1.8887,1.5322,1.7772,2.0813
1748564252.0021079,2.2322,2.0979,2.2903,1.933,1.9502,2.1487,2.2827,2.167,2.2736,1.6526,1.7511,1.9625,1.6963,1.8838,2.1495
1748564252.1167748,2.2048,2.0378,2.2443,1.9341,1.9354,2.0993,2.2567,2.1154,2.2102,1.6437,1.8027,1.9212,1.9462,2.0308,2.2325
1748564252.22971,2.2277,2.0891,2.2806,1.937,1.9322,2.1261,2.2704,2.1146,2.1285,1.7262,1.7291,1.691,1.2958,1.6577,0.9375
1748564252.3431098,2.2035,2.0732,2.2457,1.7879,1.8634,1.8261,2.114,1.9518,1.8777,1.8312,1.6168,1.7673,1.2206,1.7396,1.9897
1748564252.457815,2.1433,2.0463,2.1764,1.745,1.8317,1.8341,1.8454,1.8242,1.7536,1.6695,1.5483,1.5994,1.1873,1.4857,0.9184
1748564252.571083,2.1525,2.0848,2.139,1.7415,1.8293,1.7713,1.8062,1.7871,1.7178,1.6652,1.519,1.5811,1.1975,1.4739,0.9047
1748564252.685293,2.1876,2.102,2.2191,1.7909,1.9206,1.9381,2.0396,1.9827,1.9709,1.8194,1.6794,1.7716,1.3461,1.7022,1.1497
